Severity,Message
Information,=====================================
Information, NetApp Environment Report 
Success,Contents of E:\Scripts\morningReport\inputs.csv are imported successfully
Information,***************************************************************************************************
Information,Executing Health Check for au1111npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1111npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=129792809"
Information,Executing Health Check for au1111npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793226 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793226 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa001 is Healthy
Success,au1111npsa001 is Healthy
Information,Checking Uptime of au1111npsa001
Success,au1111npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa001
Success,au1111npsa001 is HA
Information,Updating Capacity Property of au1111npsa001
Error,au1111npsa001 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=210 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa001 has an average latency of : 0.11 : for last 24 hours
Information,Completed Performance Checks on au1111npsa001
Information,Executing Health Check for au1111npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793168 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793168 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa002 is Healthy
Success,au1111npsa002 is Healthy
Information,Checking Uptime of au1111npsa002
Success,au1111npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa002
Success,au1111npsa002 is HA
Information,Updating Capacity Property of au1111npsa002
Error,au1111npsa002 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=141 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa002 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au1111npsa002
Information,Executing Health Check for au1111npsa005
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa005"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792995 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792995 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa005 is Healthy
Success,au1111npsa005 is Healthy
Information,Checking Uptime of au1111npsa005
Success,au1111npsa005 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa005
Success,au1111npsa005 is HA
Information,Updating Capacity Property of au1111npsa005
Error,au1111npsa005 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa005
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa005"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=10451 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa005 has an average latency of : 0.24 : for last 24 hours
Information,Completed Performance Checks on au1111npsa005
Information,Executing Health Check for au1111npsa006
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa006"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793082 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793082 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa006 is Healthy
Success,au1111npsa006 is Healthy
Information,Checking Uptime of au1111npsa006
Success,au1111npsa006 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa006
Success,au1111npsa006 is HA
Information,Updating Capacity Property of au1111npsa006
Error,au1111npsa006 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa006
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa006"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=10472 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa006 has an average latency of : 0.13 : for last 24 hours
Information,Completed Performance Checks on au1111npsa006
Information,Executing Health Check for au1111npsa007
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa007"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792820 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792820 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa007 is Healthy
Success,au1111npsa007 is Healthy
Information,Checking Uptime of au1111npsa007
Success,au1111npsa007 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa007
Success,au1111npsa007 is HA
Information,Updating Capacity Property of au1111npsa007
Error,au1111npsa007 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa007
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa007"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=28001 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa007 has an average latency of : 0.18 : for last 24 hours
Information,Completed Performance Checks on au1111npsa007
Information,Executing Health Check for au1111npsa008
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa008"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792908 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129792908 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa008 is Healthy
Success,au1111npsa008 is Healthy
Information,Checking Uptime of au1111npsa008
Success,au1111npsa008 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa008
Success,au1111npsa008 is HA
Information,Updating Capacity Property of au1111npsa008
Error,au1111npsa008 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa008
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa008"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=28002 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa008 has an average latency of : 0.12 : for last 24 hours
Information,Completed Performance Checks on au1111npsa008
Success,Successfully updated HTML table for au1111npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au1111npsc002
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1111npsc002"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=26001"
Information,Executing Health Check for au1111NPSA020
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111NPSA020"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26009 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26009 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111NPSA020 is Healthy
Success,au1111NPSA020 is Healthy
Information,Checking Uptime of au1111NPSA020
Success,au1111NPSA020 has an uptime of more than 24 hours
Information,Checking HA Status of au1111NPSA020
Success,au1111NPSA020 is HA
Information,Updating Capacity Property of au1111NPSA020
Success,All aggregates on au1111NPSA020 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1111NPSA020
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111NPSA020"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=7428 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111NPSA020 has an average latency of : 4.65 : for last 24 hours
Information,Completed Performance Checks on au1111NPSA020
Information,Executing Health Check for au1111NPSA021
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111NPSA021"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26041 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26041 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111NPSA021 is Healthy
Success,au1111NPSA021 is Healthy
Information,Checking Uptime of au1111NPSA021
Success,au1111NPSA021 has an uptime of more than 24 hours
Information,Checking HA Status of au1111NPSA021
Success,au1111NPSA021 is HA
Information,Updating Capacity Property of au1111NPSA021
Success,All aggregates on au1111NPSA021 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1111NPSA021
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111NPSA021"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=7479 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111NPSA021 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au1111NPSA021
Success,Successfully updated HTML table for au1111npsc002
Information,***************************************************************************************************
Information,Executing Health Check for au1111npsc003
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1111npsc003"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=1"
Information,Executing Health Check for au1111npsa011
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa011"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=136 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=136 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa011 is Healthy
Success,au1111npsa011 is Healthy
Information,Checking Uptime of au1111npsa011
Success,au1111npsa011 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa011
Success,au1111npsa011 is HA
Information,Updating Capacity Property of au1111npsa011
Error,au1111npsa011 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa011
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa011"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=136 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa011 has an average latency of : 0.06 : for last 24 hours
Information,Completed Performance Checks on au1111npsa011
Information,Executing Health Check for au1111npsa012
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa012"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=16 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=16 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa012 is Healthy
Success,au1111npsa012 is Healthy
Information,Checking Uptime of au1111npsa012
Success,au1111npsa012 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa012
Success,au1111npsa012 is HA
Information,Updating Capacity Property of au1111npsa012
Success,All aggregates on au1111npsa012 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa012
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa012"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=16 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa012 has an average latency of : 0.00 : for last 24 hours
Information,Completed Performance Checks on au1111npsa012
Success,Successfully updated HTML table for au1111npsc003
Information,***************************************************************************************************
Information,Executing Health Check for au2222npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au2222npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=1"
Information,Executing Health Check for au2222npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=169 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=169 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa001 is Healthy
Success,au2222npsa001 is Healthy
Information,Checking Uptime of au2222npsa001
Success,au2222npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa001
Success,au2222npsa001 is HA
Information,Updating Capacity Property of au2222npsa001
Success,All aggregates on au2222npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=1239 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa001 has an average latency of : 0.03 : for last 24 hours
Information,Completed Performance Checks on au2222npsa001
Information,Executing Health Check for au2222npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=114 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=114 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa002 is Healthy
Success,au2222npsa002 is Healthy
Information,Checking Uptime of au2222npsa002
Success,au2222npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa002
Success,au2222npsa002 is HA
Information,Updating Capacity Property of au2222npsa002
Error,au2222npsa002 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=1161 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa002 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au2222npsa002
Information,Executing Health Check for au2222npsa005
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa005"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=224 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=224 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa005 is Healthy
Success,au2222npsa005 is Healthy
Information,Checking Uptime of au2222npsa005
Success,au2222npsa005 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa005
Success,au2222npsa005 is HA
Information,Updating Capacity Property of au2222npsa005
Error,au2222npsa005 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa005
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa005"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=9443 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa005 has an average latency of : 0.19 : for last 24 hours
Information,Completed Performance Checks on au2222npsa005
Information,Executing Health Check for au2222npsa006
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa006"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=290 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=290 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa006 is Healthy
Success,au2222npsa006 is Healthy
Information,Checking Uptime of au2222npsa006
Success,au2222npsa006 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa006
Success,au2222npsa006 is HA
Information,Updating Capacity Property of au2222npsa006
Error,au2222npsa006 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa006
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa006"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=10346 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa006 has an average latency of : 0.25 : for last 24 hours
Information,Completed Performance Checks on au2222npsa006
Information,Executing Health Check for au2222npsa007
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa007"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87074 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87074 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa007 is Healthy
Success,au2222npsa007 is Healthy
Information,Checking Uptime of au2222npsa007
Success,au2222npsa007 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa007
Success,au2222npsa007 is HA
Information,Updating Capacity Property of au2222npsa007
Error,au2222npsa007 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa007
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa007"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=29083 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
