Severity,Message
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa007 has an average latency of : 0.12 : for last 24 hours
Information,Completed Performance Checks on au2222npsa007
Information,Executing Health Check for au2222npsa008
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa008"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87015 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87015 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa008 is Healthy
Success,au2222npsa008 is Healthy
Information,Checking Uptime of au2222npsa008
Success,au2222npsa008 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa008
Success,au2222npsa008 is HA
Information,Updating Capacity Property of au2222npsa008
Error,au2222npsa008 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa008
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa008"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=29009 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222npsa008 has an average latency of : 0.15 : for last 24 hours
Information,Completed Performance Checks on au2222npsa008
Success,Successfully updated HTML table for au2222npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au2222npsc002
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au2222npsc002"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=26662"
Information,Executing Health Check for au2222NPSA020
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222NPSA020"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26671 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26671 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222NPSA020 is Healthy
Success,au2222NPSA020 is Healthy
Information,Checking Uptime of au2222NPSA020
Success,au2222NPSA020 has an uptime of more than 24 hours
Information,Checking HA Status of au2222NPSA020
Success,au2222NPSA020 is HA
Information,Updating Capacity Property of au2222NPSA020
Success,All aggregates on au2222NPSA020 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au2222NPSA020
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222NPSA020"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=8203 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222NPSA020 has an average latency of : 3.48 : for last 24 hours
Information,Completed Performance Checks on au2222NPSA020
Information,Executing Health Check for au2222NPSA021
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222NPSA021"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26703 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=26703 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222NPSA021 is Healthy
Success,au2222NPSA021 is Healthy
Information,Checking Uptime of au2222NPSA021
Success,au2222NPSA021 has an uptime of more than 24 hours
Information,Checking HA Status of au2222NPSA021
Success,au2222NPSA021 is HA
Information,Updating Capacity Property of au2222NPSA021
Success,All aggregates on au2222NPSA021 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au2222NPSA021
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222NPSA021"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=8254 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au2222NPSA021 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au2222NPSA021
Success,Successfully updated HTML table for au2222npsc002
Information,***************************************************************************************************
Information,Executing Health Check for au2222npsc003
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au2222npsc003"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=2889"
Information,Executing Health Check for au2222npsa011
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa011"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=3024 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=3024 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa011 is Healthy
Success,au2222npsa011 is Healthy
Information,Checking Uptime of au2222npsa011
Success,au2222npsa011 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa011
Success,au2222npsa011 is HA
Information,Updating Capacity Property of au2222npsa011
Error,au2222npsa011 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa011
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa011"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=3024 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au2222npsa011 has an average latency of : 0.01 : for last 24 hours
Information,Completed Performance Checks on au2222npsa011
Information,Executing Health Check for au2222npsa012
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au2222npsa012"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=2904 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=2904 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au2222npsa012 is Healthy
Success,au2222npsa012 is Healthy
Information,Checking Uptime of au2222npsa012
Success,au2222npsa012 has an uptime of more than 24 hours
Information,Checking HA Status of au2222npsa012
Success,au2222npsa012 is HA
Information,Updating Capacity Property of au2222npsa012
Success,All aggregates on au2222npsa012 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au2222npsa012
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au2222npsa012"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=2904 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au2222npsa012 has an average latency of : 0.05 : for last 24 hours
Information,Completed Performance Checks on au2222npsa012
Success,Successfully updated HTML table for au2222npsc003
Information,***************************************************************************************************
Information,Executing Health Check for au3333npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au3333npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=57105242"
Information,Executing Health Check for au3333npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au3333npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=57105276 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=57105276 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au3333npsa001 is Healthy
Success,au3333npsa001 is Healthy
Information,Checking Uptime of au3333npsa001
Success,au3333npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au3333npsa001
Success,au3333npsa001 is HA
Information,Updating Capacity Property of au3333npsa001
Success,All aggregates on au3333npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au3333npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au3333npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=44300 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au3333npsa001 has an average latency of : 0.02 : for last 24 hours
Information,Completed Performance Checks on au3333npsa001
Information,Executing Health Check for au3333npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au3333npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=57105243 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=57105243 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au3333npsa002 is Healthy
Success,au3333npsa002 is Healthy
Information,Checking Uptime of au3333npsa002
Success,au3333npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au3333npsa002
Success,au3333npsa002 is HA
Information,Updating Capacity Property of au3333npsa002
Success,All aggregates on au3333npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au3333npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au3333npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=44248 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au3333npsa002 has an average latency of : 0.03 : for last 24 hours
Information,Completed Performance Checks on au3333npsa002
Success,Successfully updated HTML table for au3333npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au4444npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au4444npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=129160498"
Information,Executing Health Check for au4444npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au4444npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129160529 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129160529 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au4444npsa001 is Healthy
Success,au4444npsa001 is Healthy
Information,Checking Uptime of au4444npsa001
Success,au4444npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au4444npsa001
Success,au4444npsa001 is HA
Information,Updating Capacity Property of au4444npsa001
Success,All aggregates on au4444npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au4444npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au4444npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=48986 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au4444npsa001 has an average latency of : 0.01 : for last 24 hours
Information,Completed Performance Checks on au4444npsa001
Information,Executing Health Check for au4444npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au4444npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129160499 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129160499 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au4444npsa002 is Healthy
Success,au4444npsa002 is Healthy
Information,Checking Uptime of au4444npsa002
Success,au4444npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au4444npsa002
Success,au4444npsa002 is HA
Information,Updating Capacity Property of au4444npsa002
Success,All aggregates on au4444npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au4444npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au4444npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=48937 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 144 entries in perfavgLatency Array
Information,au4444npsa002 has an average latency of : 0.06 : for last 24 hours
Information,Completed Performance Checks on au4444npsa002
Success,Successfully updated HTML table for au4444npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au5555npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au5555npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=130146719"
Information,Executing Health Check for au5555npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au5555npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146757 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146757 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au5555npsa001 is Healthy
Success,au5555npsa001 is Healthy
Information,Checking Uptime of au5555npsa001
Success,au5555npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au5555npsa001
Success,au5555npsa001 is HA
Information,Updating Capacity Property of au5555npsa001
Success,All aggregates on au5555npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au5555npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au5555npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=50853 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au5555npsa001 has an average latency of : 0.01 : for last 24 hours
Information,Completed Performance Checks on au5555npsa001
Information,Executing Health Check for au5555npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au5555npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146726 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146726 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au5555npsa002 is Healthy
Success,au5555npsa002 is Healthy
Information,Checking Uptime of au5555npsa002
Success,au5555npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au5555npsa002
Success,au5555npsa002 is HA
Information,Updating Capacity Property of au5555npsa002
Success,All aggregates on au5555npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au5555npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au5555npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=50800 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au5555npsa002 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au5555npsa002
Success,Successfully updated HTML table for au5555npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au6666npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au6666npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=130146190"
Information,Executing Health Check for au6666npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au6666npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146226 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146226 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au6666npsa001 is Healthy
Success,au6666npsa001 is Healthy
Information,Checking Uptime of au6666npsa001
Success,au6666npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au6666npsa001
Success,au6666npsa001 is HA
Information,Updating Capacity Property of au6666npsa001
Success,All aggregates on au6666npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au6666npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au6666npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=53572 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 289 entries in perfavgLatency Array
Information,au6666npsa001 has an average latency of : 0.01 : for last 24 hours
Information,Completed Performance Checks on au6666npsa001
Information,Executing Health Check for au6666npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au6666npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146196 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=130146196 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au6666npsa002 is Healthy
Success,au6666npsa002 is Healthy
Information,Checking Uptime of au6666npsa002
Success,au6666npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au6666npsa002
Success,au6666npsa002 is HA
Information,Updating Capacity Property of au6666npsa002
Success,All aggregates on au6666npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au6666npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au6666npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=53520 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 289 entries in perfavgLatency Array
Information,au6666npsa002 has an average latency of : 0.05 : for last 24 hours
Information,Completed Performance Checks on au6666npsa002
Success,Successfully updated HTML table for au6666npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au7777npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au7777npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=129138479"
Information,Executing Health Check for au7777npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au7777npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129138480 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129138480 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au7777npsa001 is Healthy
Success,au7777npsa001 is Healthy
Information,Checking Uptime of au7777npsa001
Success,au7777npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au7777npsa001
Success,au7777npsa001 is HA
Information,Updating Capacity Property of au7777npsa001
Success,All aggregates on au7777npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au7777npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au7777npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=46285 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
